name,phone,address,city,state,zipcode,website
"Gilmore Solar, Heating & Air",(800) 200-9696,4429 Missouri Flat Rd.,Placerville, CA,95667,www.gilmoreinc.com
Straight Line Roofing and Construction,(530) 672-9995,4415 Commodity Way,Shingle Springs, CA,95682,straightlineconstruction.com
Carnahan Electric Ltd,(530) 642-2476,6391 Capitol Ave.,Diamond Springs, CA,95619,www.carnahanelectric.com
Sunbolt Energy Systems,(916) 941-8890,2012 Arroyo Vista Way,El Dorado Hills, CA,95762,Sunboltenergysystems.com
A 2 Z Energy,(530) 672-1595,,Shingle Springs, CA,95682,www.a2zenergy.com
Solar Hut,(530) 651-5111,1374 Broadway,Placerville, CA,95667,www.SolarHut.org
Ericson Solar,(530) 626-5497,2201 Holland Dr.,Placerville, CA,95667,ericsonsolar.com
Regional Builders Inc,(916) 933-0362,5047 Robert J. Mathews Pkwy. ,El Dorado Hills, CA,95762,www.trustrbi.com
California Energy Services,(916) 737-1107,4354 Town Center Blvd.,El Dorado Hills, CA,95762,calgreennrg.com
Premier Power Renewable Energy,(916) 939-0400,4961 Windplay Dr.,El Dorado Hills, CA,95762,www.PremierPower.com
"Roebbelen Contracting, Inc.",(916) 939-4000,1241 Hawks Flight Ct.,El Dorado Hills, CA,95762,www.roebbelen.com
Apex Solar Inc.,(916) 878-7723,4354 Town Center Blvd.,El Dorado Hills, CA,95762,www.apexsolarinc.com
Durant Construction,(925) 586-3590,902 Mount Casey Ct.,El Dorado Hills, CA,95762,durant-construction.com
MKS Electric and Solar Inc.,(530) 333-7503,7061 Isaiah Rd.,Georgetown, CA,95634,hotwirelectric.com
RCC Solar,(909) 981-7736,90 E. Stowell St.,Upland, CA,91786,www.RCCSolar.com
SOLARGEM,(909) 980-1800,11010 Arrow Rte.,Rancho Cucamonga, CA,91730,www.solargm.com
"Progressive Energy Solutions, Inc",(888) 603-4255,12189 7th St.,Yucaipa, CA,92399,PESIsolar.com
Smart Solar Power Inc.,(909) 797-7000,38648 Oak Glen Rd.,Yucaipa, CA,92399,padensolar.com
Paden Solar,(909) 258-5445,290 South D St.,San Bernardino, CA,92401,
Safeway Electric,(909) 824-6441,1474 N. Miller Dr.,Colton, CA,92324,www.safewaybsi.com
"Sea Bright Solar, Inc.",(909) 335-0820,390 Alabama St.,Redlands, CA,92373,www.seabrightsolar.com
Solar Universe - Bloomington,(877) 648-9786,2879 South Willow Ave.,Bloomington, CA,92316,solaruniverse.com
Del Sol Solar,(909) 803-0951,14200 Ross Ct.,Rancho Cucamonga, CA,91739,www.delsolsolar.com
Hubzone Corporation,(909) 484-0933,9300 Santa Anita Ave.,Rancho Cucamonga, CA,91730,www.hbzcorp.com
Solar Universe - Rancho Cucamonga,(909) 297-3626,9340 Santa Anita Ave. ,Rancho Cucamonga, CA,91730,solaruniverse.com
Live Wire Electric,(909) 528-4444,12941 2nd St.,Yucaipa, CA,92399,www.lwelectrical.com
"Nuvision Energy Solutions, Inc.",(909) 989-0077,9155 Archibald Ave.,Rancho Cucamonga, CA,91730,nuvisiones.com
"Scion Electric, Inc.",(909) 790-3860,36450 Cherrywood Dr.,Yucaipa, CA,92399,scionelectric.com
"ECOMAC Electric, Inc.",(626) 271-5459,6586 Kinlock Ave.,Rancho Cucamonga, CA,91737,www.ecomacelectric.com
Robko Construction Inc,(626) 340-8498,2232 South Vineyard Ave.,Ontario, CA,91761,www.SolarByRobko.com
1 Connector Electric,(909) 730-1940,8780 19th St.,Rancho Cucamonga, CA,91701,www.inlandempirehomesolar.com/
R U Solar Construction,(909) 635-4400,212 E. Holt Blvd.,Ontario, CA,91761,rusolar.com
"Fry Fire and Electric, Inc.",(909) 982-0125,1655 N. First Ave.,Upland, CA,91784,ecosunusa.com
ACA Solar,(909) 606-8000,13825 Magnolia Ave.,Chino, CA,91710,www.acasolar.com
Lyons & Company USA Inc.,(909) 579-0151,1939 11th St.,Upland, CA,91786,www.lyonsco.net
Day Solar,(855) 329-7652,12277 Apple Valley Rd.,Apple Valley, CA,92308,www.daysolarpower.com
"JK Solar Enterprises, Inc,",(760) 617-6856,13415 Prospector Rd.,Victorville, CA,92392,jksolar.net
Free Energy Construction,(760) 885-3109,3936 Phelan Rd.,Phelan, CA,92371,www.ferisolar.com
Desert Solar Construction,(760) 669-5460,13448 Manhasset Rd.,Apple Valley, CA,92308,www.desertsolar.org
Ludeckes Electrical Service,(909) 866-1900,,Big Bear City, CA,92314,www.ludecke-electric.com
"Hal Hays Construction, Inc.",(951) 788-0703,1835 Chicago Ave.,Riverside, CA,92507,www.halhays.com
"Lamb Energy, Inc",(951) 684-8500,3421 Gato Ct.,Riverside, CA,92507,www.lambenergy.com
Green Energy Solutions Inc.,(888) 602-0268,766 Palmyrita Ave.,Riverside, CA,92507,www.green-e-soltions.com
Inland Pacific Solar,(951) 784-9700,5051 Canyon Crest Dr. ,Riverside, CA,92507,www.inlandpacficsolar.com
High Light Electric Inc,(951) 352-9646,7000 Jurupa Ave. ,Riverside, CA,92504,www.hleincusa.com
Infinite Power,(951) 941-0941,3008 Floral Ave.,Riverside, CA,92507,infinite.power.tripod.com/
"Pacific Pro Solar Group, Inc.",(951) 689-0737,6892 Doolittle Ave.,Riverside, CA,92503,www.pacificprosolar.com
"PC Electric, Inc.",(951) 689-1430,6892 Doolittle Ave.,Riverside, CA,92503,www.pcelectricinc.com
Elite Electric Inc.,(951) 681-5811,9415 Bellegrave Ave.,Riverside, CA,92509,www.elite-electricinc.com
All Temperature Air & Solar,(951) 789-5560,9306 Narnia Dr.,Riverside, CA,92503,www.alltemperatureair.com
Aloha Systems Incorporated,(951) 780-9903,8539 Barnwood Ln.,Riverside, CA,92508,www.alohasys.com
"E.E. Electric, Inc.",(909) 829-7818,,Mira Loma, CA,91752,www.ee-electric.net
Power Link,(951) 567-4475,10044 Snipe Cir.,Moreno Valley, CA,92557,www.powerlinkservices.com
Frederick Richardson Construction,(951) 653-6132,,Moreno Valley, CA,92554,roofingandconstruction.com
Lusin Corporation,(951) 824-9057,18731 Oak Park Dr.,Riverside, CA,92504,www.lusin.com
Tenco Solar,(949) 795-3472,18713 Glass Mountain Dr.,Riverside, CA,92504,www.tenco.us
Magnolia Heating and Cooling,(951) 688-3524,6990 Jurupa Ave.,Riverside, CA,92504,www.maghvac.com
"MohrPower Solar, Inc.",(951) 736-2000,1452 Pomona Rd.,Corona, CA,92882,www.mohrpower.com
Horizon Solar Power,(951) 926-1176,7100 W. Florida Ave.,Hemet, CA,92545,www.horizonsolarpower.com
Champion Electric Inc,(951) 276-9619,3950 Garner Rd.,Riverside, CA,92501,www.championelec.com
Synergy Companies,(801) 226-7800,90 Business Park Dr.,Perris, CA,92571,www.synergycompanies.org
KB Home Coastal Inc.,(951) 691-5300,36310 Inland Valley Dr.,Wildomar, CA,92595,www.kbhome.com
Southland Solar,(951) 300-8354,,Riverside, CA,92517,www.SouthlandSolarNow.com
California Showcase Construction,(951) 682-0208,3130 Franklin Ave.,Riverside, CA,92507,calshowcase.com
Solar Smart Systems,(951) 205-0100,4500 Circle Lazy J. Rd.,Riverside, CA,92501,www.getsolarsmart.com
"Stronghold Engineering, Inc.",(951) 684-9303,2000 Market St.,Riverside, CA,92501,www.strongholdengineering.com
California Construction and Roofing Inc.,(800) 352-2639,2651 Avalon St.,Riverside, CA,92509,calroofsolar.com
"Green Solar Systems, Inc.",(951) 737-1700,670 East Parkridge ,Corona, CA,92879,www.greensolarinc.com
Solar Fuel,(951) 496-1075,7056 Archibald Ave.,Corona, CA,92880,www.solarfuelnow.com
Skyline Energy,(951) 543-7555,1047 Forester Dr.,Corona, CA,92880,www.skylineenergyusa.com
Sky Cell Solar,(951) 543-7555,1047 Forester Dr.,Corona, CA,92880,www.skycellsolar.com
Green Energy Systems,(714) 655-3888,2131 S. Belle Ave.,Corona, CA,92882,www.SolarPowerEngineerCorp.com
Moore Electrical Contracting,(951) 371-4202,463 N. Smith Ave.,Corona, CA,92880,www.MooreElectric.com
CFO Electric,(909) 553-5524,17130 El Mineral Rd.,Perris, CA,92570,www.cfoelectric.com
I.E.S. Residential,(281) 498-2212,2445 Railroad St.,Corona, CA,92880,www.ies-co.com
Complete Door & Trim,(951) 623-6461,728 Indigo St.,Beaumont, CA,92223,cleanairsolar.com
Sunrise Power Inc.,(951) 926-0200,32497 Highway 74,Hemet, CA,92545,www.sunrisepowerinc.com
"Positive Energy Solutions, Inc.",(855) 464-7652,29625 Desert Terrace Dr.,Menifee, CA,92584,www.smart2gosolar.com
Sunbelt Solar Systems,(951) 243-0434,26881 Prairie Dog Ln.,Moreno Valley, CA,92555,sunbeltsolarsystems.com
Khan Construction Co,(626) 922-9105,1825 Madera Cir.,Corona, CA,92879,www.khanconstruction.com
Infinity Power Solutions,(714) 921-8168,2440 North Glassell St.,Orange, CA,92865,infinitysolar.net
McCormack Roofing & Window Co,(714) 777-4044,1260 N. Hancock St.,Anaheim, CA,92807,www.mccormackroofing.com
Solagex America,(714) 765-2439,7373 Lincoln Way,Garden Grove, CA,92841,www.solagex.com
"Poweraid, Inc.",(949) 387-3998,18242 McDurmott W.,Irvine, CA,92614,www.poweraidus.com
GCI SOLAR,(714) 373-8544,15261 Connector Ln.,Huntington Beach, CA,92649,www.gcisolar.com
Letner Roofing Company,(714) 633-0030,1490 N. Glassell St.,Orange, CA,92867,www.letner.com
Peak Power Solutions,(714) 258-3900,1542 Edinger Ave.,Tustin, CA,92780,www.peakpowerus.com
Aikyum Solar,(949) 705-6797,1220 Roosevelt Rd.,Irvine, CA,92620,www.aikyum.com
Elite Home Energy,(714) 968-5304,10661 Ellis Ave.,Fountain Valley, CA,92708,www.elitehomeenergy.com
Swan Solar,(949) 309-3409,24512 Bridger Rd.,Lake Forest, CA,92630,www.swansolar.com
Integrated Energy System Ca Inc,(714) 771-9098,747 N Main St.,Orange, CA,92868,ie-systems.net
Verengo Solar Plus,(714) 453-2000,1211 N. Batavia St.,Orange, CA,92867,www.VerengoSolar.com
"Cira Energy, Inc.",(949) 233-1618,2031 E. Cerritos Ave.,Anaheim, CA,92806,ciraenergy.com
NaturEnergy,(949) 544-1734,2961 W. MacArthur Blvd.,Santa Ana, CA,92704,www.naturenergy.net
Progressive Power Group,(562) 430-2849,12601 Monarch St.,Garden Grove, CA,92841,www.ProPowerGroup.com
Vasco Solar Energy Construction,(714) 968-8845,9121 Atlanta Ave.,Huntington Beach, CA,92646,www.vascosolar.com
"Zeronet Energy Solutions, Inc.",(949) 584-7739,8961 Research Dr.,Irvine, CA,92618,znesolutions.com
"Smart Systems Technologies, Inc.",(949) 367-9375,9 Goodyear,Irvine, CA,92618,www.sstsun.com
Suntrek Industries,(949) 348-9276,5 Holland,Irvine, CA,92618,www.suntreksolar.com/
"Electronic Processing Technologies, LLC",(714) 840-1379,4494 Shorebird Dr.,Huntington Beach, CA,92649,www.electroprotech.com
RBT Electric,(800) 661-5006,2230 West Chapman Ave.,Orange, CA,92868,www.rbt-electric.com
"Solar Systems International, Inc.",(714) 639-0884,1235 Collins Ave.,Orange, CA,92867,www.solarsystemsintl.com
Laguna Integrated Energy Systems Inc.,(714) 771-9098,747 N. Main St.,Orange, CA,92868,ie-systems.net
"Orange County Electric, Inc.",(714) 883-0429,394 N. Rancho Santiago Blvd.,Orange, CA,92869,www.DoitRightSolar.com
"Sunstrand Energy, Inc.",(714) 838-9080,,Tustin, CA,92781,SunstrandEnergy.com
In Solar,(714) 385-1388,2125 E. Howell Ave. ,Anaheim, CA,92806,www.insolarco.com
Wilson Electric,(714) 842-9700,650 S Grand Ave.,Santa Ana, CA,92705,www.welightit.com
Solar Pros by Win-Dor,(714) 385-1202,2220 E. Orangewood Ave,Anaheim, CA,92806,www.windoronline.com
"Creo Electric, Inc.",(714) 973-9300,241 Wright St.,Santa Ana, CA,92705,creoelectric.com
Skywest Roofing,(714) 575-1131,2550 E. Mira Loma Way,Anaheim, CA,92806,www.skywestroofing.com
DePinho Roofing Inc.,(714) 632-7663,2832 N. Olive Ave.,Orange, CA,92865,depinhoroofing.com
"Stout & Burg Electric, Inc.",(714) 544-5066,15052 Red Hill Ave.,Tustin, CA,92780,www.sbeoc.com
Electrical Distribution Services Inc.,(714) 258-3900,1542 Edinger Ave.,Tustin, CA,92780,www.esdi-usa.net
SolarCity - Santa Ana,(855) 860-7652,2165 South Grand Ave.,Santa Ana, CA,92705,www.solarcity.com
A J Kirkwood & Associates Inc,(714) 505-1977,2752 Walnut Ave.,Tustin, CA,92780,www.ajk-a.com
Soltec EPC,(714) 630-3757,3911 E. La Palma Ave.,Anaheim, CA,92807,www.soltecenergies.com
Celebrity Solar,(714) 507-4422,1061 N Kraemer Pl.,Anaheim, CA,92806,www.CelebritySolar.us
Easton Pacific Alternate Energy Solutions,(949) 223-5090,1900 E. Warner Ave.,Santa Ana, CA,92705,www.eastonpacific.com
R-Link,(888) 416-1416 ,604 E. Dyer Rd.,Santa Ana, CA,92705,renewableusa.com
Kam Roofing,(714) 641-1440,2737 S. Coddy Way,Santa Ana, CA,92704,www.dkam.net
DLP Electric & Lighting,(714) 785-9712,,Irvine, CA,92623,www.dlpquality.com
Linnert Roofing Inc,(714) 779-6900,5200 E. Hunter Ave.,Anaheim, CA,92807,linnertroofing.com
DRI Energy,(949) 266-1900,17182 Armstrong Ave.,Irvine, CA,92614,www.dricompanies.com
Conclusive Corp.,(714) 632-8058 ,,Orange, CA,92807,www.conclusivecorp.com
Energy Acumen Solar,(714) 783-7680,5100 E. La Palma Ave.,Anaheim, CA,92807,www.energyacumen.com
Design Lighting Inc.,(714) 866-7979,12635 Main St.,Garden Grove, CA,92840,www.greenlightingdesigns.com
California Solar Systems,(855) 227-6527,1511 E. Orangethorpe Ave.,Fullerton, CA,92831,www.855casolar.com
Next Generation Solar Inc,(951) 385-0535,118101 Von Karman,Irvine, CA,92612,www.csbcinc.com
Kianga Solar Builders Inc.,(949) 379-8640,3700 South Susan St.,Santa Ana, CA,92704,www.kiangasolar.com
"Green Contractors, Inc.",(714) 662-2040,2781 W. MacArthur Blvd.,Santa Ana, CA,92704,www. greencontractorsinc.com
California State Building Contractors,(951) 385-0535,18101 Von Karman ,Irvine, CA,92612,www.csbcinc.com
Renew Solar Electric,(714) 823-3003,114271 Jeffrey Rd.,Irvine, CA,92620,www.orangecountysolar4u.com
"Ilkyung, Inc.",(714) 980-1799,1501 E. Orangethorpe Ave.,Fullerton, CA,92831,www.ilkyung.com
Cirus Development,(949) 852-5575,17300 Redhill Ave.,Irvine, CA,92614,www.modularlifestyles.com
Applied Solar Energy Solutions,(714) 871-1047,765 S. State College Blvd.,Fullerton, CA,92831,www.AppliedSES.com
Solarrus Corporation,(949) 954-8166 ,17872 Cartwright Rd.,Irvine, CA,92614,www.solarrus.com
New Gen Solar,(714) 606-7697,,Placentia, CA,92871,newgensolar.net
K&B Electric,(714) 434-1108,3260 S. Susan,Santa Ana, CA,92704,www.kbelect.com
